iter	Passed	Remaining
0	61	61267
1	61	30776
2	62	20640
3	62	15572
4	62	12521
5	63	10507
6	63	9052
7	64	7952
8	64	7098
9	64	6410
10	65	5847
11	65	5387
12	65	4997
13	66	4664
14	66	4375
15	67	4120
16	67	3894
17	67	3689
18	67	3507
19	68	3343
20	68	3194
21	68	3060
22	69	2942
23	69	2829
24	69	2729
25	70	2642
26	71	2560
27	72	2502
28	72	2428
29	72	2355
30	73	2289
31	73	2223
32	73	2163
33	74	2108
34	74	2054
35	74	2004
36	75	1957
37	75	1916
38	76	1875
39	76	1837
40	76	1797
41	77	1760
42	77	1724
43	77	1690
44	78	1661
45	78	1633
46	79	1606
47	79	1579
48	80	1554
49	80	1532
50	81	1521
51	82	1499
52	82	1476
53	83	1455
54	83	1433
55	83	1413
56	84	1395
57	84	1375
58	85	1359
59	85	1342
60	85	1322
61	86	1305
62	87	1299
63	87	1284
64	88	1268
65	88	1253
66	88	1238
67	89	1222
68	89	1208
69	90	1196
70	90	1183
71	90	1171
72	91	1158
73	91	1145
74	91	1134
75	92	1124
76	92	1114
77	93	1103
78	93	1092
79	94	1082
80	94	1071
81	94	1061
82	95	1052
83	95	1043
84	95	1031
85	96	1022
86	96	1010
87	96	1002
88	97	994
89	97	985
90	97	977
91	98	969
92	98	962
93	99	954
94	99	946
95	99	939
96	100	932
97	100	925
98	101	919
99	101	913
100	101	906
101	101	897
102	102	890
103	102	885
104	103	880
105	103	874
106	104	868
107	104	861
108	104	855
109	105	850
110	105	844
111	105	839
112	106	833
113	106	828
114	107	823
115	107	818
116	107	813
117	108	808
118	108	802
119	108	798
120	109	793
121	109	789
122	109	783
123	110	778
124	110	773
125	110	768
126	111	763
127	111	758
128	112	756
129	112	751
130	112	747
131	112	742
132	113	738
133	113	734
134	114	730
135	114	727
136	114	723
137	115	719
138	115	716
139	116	712
140	117	712
141	117	710
142	117	706
143	119	710
144	119	706
145	120	703
146	120	700
147	121	696
148	121	693
149	121	689
150	122	686
151	122	683
152	122	679
153	123	676
154	123	673
155	123	670
156	124	667
157	124	664
158	125	662
159	125	659
160	125	656
161	126	653
162	126	650
163	127	647
164	127	645
165	127	642
166	128	639
167	128	637
168	129	635
169	129	631
170	129	629
171	130	626
172	130	624
173	130	621
174	131	618
175	131	615
176	131	613
177	132	610
178	132	607
179	132	605
180	132	601
181	133	599
182	133	596
183	134	595
184	134	592
185	135	590
186	135	588
187	135	585
188	136	583
189	136	581
190	136	579
191	137	576
192	137	574
193	137	572
194	138	570
195	138	568
196	139	566
197	139	564
198	139	562
199	140	560
200	140	558
201	140	556
202	141	554
203	141	552
204	141	550
205	142	549
206	142	547
207	143	546
208	143	544
209	144	542
210	144	540
211	144	538
212	145	537
213	145	534
214	146	534
215	146	532
216	147	530
217	147	528
218	148	528
219	148	526
220	149	525
221	149	523
222	149	521
223	150	519
224	150	518
225	150	516
226	151	515
227	151	513
228	152	511
229	152	510
230	152	508
231	153	507
232	153	505
233	153	503
234	154	502
235	154	501
236	155	499
237	155	498
238	155	496
239	156	494
240	156	493
241	156	491
242	157	490
243	157	488
244	158	487
245	158	485
246	158	483
247	158	481
248	159	480
249	159	478
250	159	477
251	160	475
252	160	474
253	160	472
254	161	471
255	161	469
256	161	467
257	161	465
258	162	464
259	162	462
260	162	460
261	162	458
262	163	456
263	163	455
264	163	453
265	163	451
266	164	450
267	164	448
268	164	447
269	164	445
270	165	444
271	165	442
272	165	441
273	165	439
274	166	438
275	166	436
276	166	435
277	166	433
278	167	432
279	167	430
280	167	429
281	168	427
282	168	426
283	168	424
284	168	423
285	169	421
286	169	420
287	169	419
288	169	417
289	170	416
290	170	414
291	170	413
292	170	412
293	171	410
294	171	409
295	171	408
296	171	406
297	172	405
298	172	404
299	172	402
300	172	401
301	173	400
302	173	399
303	173	397
304	174	396
