iter	Passed	Remaining
0	63	63034
1	63	31750
2	64	21296
3	64	16041
4	64	12899
5	65	10795
6	65	9293
7	65	8182
8	66	7301
9	66	6603
10	67	6039
11	67	5558
12	67	5151
13	68	4800
14	68	4504
15	68	4237
16	69	4008
17	69	3803
18	70	3614
19	70	3451
20	70	3304
21	71	3168
22	71	3049
23	72	2937
24	72	2832
25	73	2735
26	73	2642
27	73	2556
28	73	2476
29	74	2401
30	74	2337
31	75	2272
32	75	2210
33	75	2155
34	76	2101
35	76	2050
36	76	2002
37	77	1956
38	77	1911
39	77	1871
40	78	1832
41	78	1793
42	78	1758
43	79	1723
44	79	1691
45	80	1662
46	80	1631
47	80	1603
48	81	1574
49	81	1551
50	82	1527
51	82	1503
52	82	1480
53	83	1456
54	83	1435
55	83	1414
56	84	1394
57	84	1374
58	85	1358
59	85	1343
60	86	1325
61	86	1308
62	86	1291
63	87	1276
64	87	1261
65	87	1245
66	88	1230
67	88	1218
68	89	1203
69	89	1191
70	90	1177
71	90	1163
72	90	1151
73	91	1138
74	91	1127
75	91	1118
76	92	1108
77	92	1097
78	93	1088
79	93	1077
80	94	1067
81	94	1058
82	94	1046
83	95	1037
84	95	1030
85	96	1021
86	96	1012
87	97	1006
88	97	999
89	97	990
90	98	983
91	98	974
92	99	968
93	99	961
94	100	956
95	100	950
96	101	941
97	101	934
98	102	928
99	102	920
100	102	914
101	103	907
102	103	901
103	103	894
104	104	888
105	104	882
106	104	876
107	105	870
108	105	864
109	106	859
110	106	854
111	107	849
112	107	844
113	107	838
114	108	833
115	108	828
116	108	822
117	109	818
118	109	813
119	110	807
120	110	803
121	110	798
122	111	796
123	112	791
124	112	788
125	112	783
126	113	778
127	113	773
128	113	769
129	114	764
130	114	760
131	115	757
132	115	752
133	115	748
134	116	743
135	116	740
136	117	737
137	117	733
138	117	729
139	118	725
140	118	721
141	118	718
142	119	715
143	119	711
144	120	708
145	120	705
146	121	702
147	121	698
148	121	695
149	122	691
150	122	688
151	122	685
152	123	681
153	123	678
154	123	675
155	124	672
156	124	669
157	125	666
158	125	664
159	126	662
160	126	658
161	126	655
162	127	653
163	127	651
164	128	648
165	128	646
166	129	644
167	129	642
168	129	638
169	130	637
170	131	635
171	131	633
172	132	631
173	132	628
174	132	626
175	133	624
176	133	621
177	134	619
178	134	616
179	134	614
180	135	612
181	135	610
182	136	609
183	136	607
184	137	604
185	137	602
186	138	601
187	138	598
188	139	596
189	139	594
190	139	592
191	140	589
192	140	587
193	141	586
194	141	584
195	142	582
196	142	580
197	143	579
198	143	577
199	143	575
200	144	574
201	144	572
202	145	570
203	145	568
